Technique,Balanced Accuracy,ROC AUC,Accuracy,Precision (Class 0),Precision (Class 1),Recall (Class 0),Recall (Class 1),F1 (Class 0),F1 (Class 1),# Class 0 after resampling,# Class 1 after resampling
ADASYN,0.974,0.976,0.987,0.98,0.989,0.953,0.995,0.966,0.992,806.333,806.0
SMOTE+TomekLinks,0.974,0.976,0.987,0.982,0.988,0.952,0.996,0.966,0.992,806.0,806.0
SMOTE,0.974,0.976,0.987,0.982,0.988,0.952,0.996,0.966,0.992,806.0,806.0
SMOTE+ENN,0.971,0.975,0.986,0.98,0.987,0.948,0.995,0.963,0.991,804.667,800.5
None,0.929,0.975,0.97,0.986,0.967,0.86,0.997,0.915,0.982,88.5,806.0
RUS,0.883,0.949,0.851,0.774,0.977,0.934,0.831,0.808,0.867,88.5,88.5
NearMiss-3,0.855,0.919,0.84,0.684,0.962,0.882,0.829,0.742,0.88,88.5,20.833
NearMiss-1,0.721,0.838,0.561,0.327,0.994,0.986,0.455,0.486,0.604,88.5,88.5
NearMiss-2,0.703,0.772,0.581,0.349,0.963,0.907,0.5,0.489,0.618,88.5,88.5
