% class 0 in train,Balanced Accuracy (No SMOTE),Balanced Accuracy (With SMOTE),ROC AUC (No SMOTE),ROC AUC (With SMOTE),Accuracy (No SMOTE),Accuracy (With SMOTE),Precision (No SMOTE),Precision (With SMOTE),F1-score (No SMOTE),F1-score (With SMOTE),F1-class0 (No SMOTE),F1-class0 (With SMOTE),# class 0 samples,Train Class 0
5,0.8125084016668906,0.9346014249227046,0.9284177980911412,0.9345846215889232,0.9236111111111112,0.9722222222222222,0.9818181818181818,0.9868421052631579,0.9543568464730291,0.9829059829059829,0.7659574468085106,0.9259259259259259,10,5% (10)
10,0.9229735179459604,0.9636711923645651,0.9632006990186852,0.9636543890307837,0.9675925925925926,0.9837962962962963,0.9864864864864865,0.9876543209876543,0.9801136363636364,0.9899569583931134,0.9125,0.9580838323353293,20,10% (20)
25,0.9462293318994488,0.9854819196128511,0.9865741363086438,0.9868261863153651,0.9768518518518519,0.9907407407407407,0.9871794871794872,0.9767441860465116,0.9857142857142858,0.9942196531791907,0.9390243902439024,0.9767441860465116,50,25% (50)
50,0.9520432853878209,0.9869270063180535,0.9866749563113322,0.9868093829815835,0.9791666666666666,0.9930555555555556,0.9873417721518988,0.9882352941176471,0.9871244635193133,0.9956709956709957,0.9454545454545454,0.9824561403508771,100,50% (100)
75,0.9694851458529372,0.9854819196128511,0.9924721064659229,0.9925729264686114,0.9861111111111112,0.9907407407407407,0.9878048780487805,0.9767441860465116,0.9913793103448276,0.9942196531791907,0.9642857142857143,0.9767441860465116,150,75% (150)
100,0.9694851458529372,0.9854819196128511,0.9924553031321415,0.9926065331361742,0.9861111111111112,0.9907407407407407,0.9878048780487805,0.9767441860465116,0.9913793103448276,0.9942196531791907,0.9642857142857143,0.9767441860465116,201,100% (201)
